critic,title,rating
Jack Matthews,雪协一起去滑雪吧,3.0
Jack Matthews,计协义诊,4.0
Jack Matthews,模拟法庭十年征程再起航,3.5
Jack Matthews,社工在行动“全能宝贝计划”,5.0
Jack Matthews,万国语社第三期英语角活动,3.0
Mick LaSalle,雪协一起去滑雪吧,3.0
Mick LaSalle,计协义诊,4.0
Mick LaSalle,十一雁栖湖两日游，平路爬坡辣堡你想要的都有,2.0
Mick LaSalle,社工在行动“全能宝贝计划”,3.0
Mick LaSalle,模拟法庭十年征程再起航,2.0
Mick LaSalle,万国语社第三期英语角活动,3.0
4Claudia Puig,十一雁栖湖两日游，平路爬坡辣堡你想要的都有,3.0
Claudia Puig,模拟法庭十年征程再起航,2.5
Claudia Puig,社工在行动“全能宝贝计划”,4.0
Claudia Puig,万国语社第三期英语角活动,4.5
Lisa Rose,雪协一起去滑雪吧,2.5
Lisa Rose,计协义诊,3.5
Lisa Rose,十一雁栖湖两日游，平路爬坡辣堡你想要的都有,3.0
Lisa Rose,社工在行动“全能宝贝计划”,3.5
Lisa Rose,万国语社第三期英语角活动,3.0
Lisa Rose,模拟法庭十年征程再起航,2.5
Abel,计协义诊,4.5
Abel,社工在行动“全能宝贝计划”,4.0
Gene Seymour,雪协一起去滑雪吧,3.0
Gene Seymour,计协义诊,3.5
Gene Seymour,十一雁栖湖两日游，平路爬坡辣堡你想要的都有,1.5
Gene Seymour,社工在行动“全能宝贝计划”,5.0
Gene Seymour,模拟法庭十年征程再起航,3.5
Gene Seymour,万国语社第三期英语角活动,3.0
