critic,title,rating
Jack Matthews,Shape of You,5.0
Jack Matthews,Blinding Lights,4.0
Jack Matthews,Levitating,3.5
Jack Matthews,Drivers License,5.0
Jack Matthews,Good 4 U,3.0
Mick LaSalle,Good Days,3.0
Mick LaSalle,Positions,4.0
Mick LaSalle,Leave The Door Open,2.0
Mick LaSalle,Happier Than Ever,3.0
Mick LaSalle,Levitating,2.0
Mick LaSalle,Save Your Tears,3.0
Claudia Puig,Leave The Door Open,3.0
Claudia Puig,Levitating,2.5
Claudia Puig,Drivers License,4.0
Claudia Puig,Good 4 U,4.5
Lisa Rose,Shape of You,5.0
Lisa Rose,Blinding Lights,3.5
Lisa Rose,Leave The Door Open,3.0
Lisa Rose,Drivers License,3.5
Lisa Rose,Good 4 U,3.0
Lisa Rose,Levitating,2.5
Abel,Blinding Lights,4.5
Abel,Good 4 U,3.0
Abel,Shape of You,5.0
guest_test,Levitating,3.5
guest_test,Leave The Door Open,1.5
guest_test,Drivers License,5.0
guest_test,Happier Than Ever,3.5
guest_test,Save Your Tears,3.0
Gene Seymour,Shape of You,3.0
Gene Seymour,Blinding Lights,3.5
Gene Seymour,Leave The Door Open,1.5
Gene Seymour,Drivers License,5.0
Gene Seymour,Levitating,3.5
Gene Seymour,Save Your Tears,3.0
