critic,title,rating
Jack Matthews,Shanghai,5.0
Jack Matthews,Beijing,4.0
Jack Matthews,Guangzhou,3.5
Jack Matthews,Shenzhen,5.0
Jack Matthews,Chengdu,3.0
Mick LaSalle,Chongqing,3.0
Mick LaSalle,Shenyang,4.0
Mick LaSalle,Xi'an,2.0
Mick LaSalle,Tianjin,3.0
Mick LaSalle,Guangzhou,2.0
Mick LaSalle,Wuhan,3.0
Claudia Puig,Xi'an,3.0
Claudia Puig,Guangzhou,2.5
Claudia Puig,Shenzhen,4.0
Claudia Puig,Chengdu,4.5
Lisa Rose,Shanghai,5.0
Lisa Rose,Beijing,3.5
Lisa Rose,Xi'an,3.0
Lisa Rose,Shenzhen,3.5
Lisa Rose,Chengdu,3.0
Lisa Rose,Guangzhou,2.5
Abel,Beijing,4.5
Abel,Chengdu,3.0
Abel,Shanghai,5.0
guest_test,Guangzhou,3.5
guest_test,Xi'an,1.5
guest_test,Shenzhen,5.0
guest_test,Tianjin,3.5
guest_test,Wuhan,3.0
Gene Seymour,Shanghai,3.0
Gene Seymour,Beijing,3.5
Gene Seymour,Xi'an,1.5
Gene Seymour,Shenzhen,5.0
Gene Seymour,Guangzhou,3.5
Gene Seymour,Wuhan,3.0
