critic,title,rating
Jack Matthews,Software Engineer,4.0
Jack Matthews,Data Analyst,3.5
Jack Matthews,Mobile App Developer,5.0
Jack Matthews,Mobile App design,5.0
Mick LaSalle,Software Engineer,3.5
Mick LaSalle,Mobile App Developer,2.0
Mick LaSalle,Mobile App design,5.0
Claudia Puig,Data Analyst,4.0
Claudia Puig,Software Engineer,2.5
Claudia Puig,Mobile App Developer,4.0
Lisa Rose,Software Engineer,3.5
Lisa Rose,Mobile App Developer,3.5
Abel,Software Engineer,4.0
Abel,Data Analyst,3.5
Abel,Mobile App Developer,5.0
guest_test,Software Engineer,3.5
guest_test,Mobile App Developer,3.5
Gene Seymour,Software Engineer,3.5
Gene Seymour,Mobile App Developer,5.0
Hank,Data Analyst,2.5
Hank,Mobile App Developer,4.0
Hank,Software Engineer,3.0
Jane,Data Analyst,3.5
Jane,Mobile App Developer,4.0
Jane,Software Engineer,4.5
Bob,Data Analyst,4.0
Bob,Mobile App Developer,3.5
Bob,Software Engineer,3.5
John,Software Engineer,4.0
John,Data Analyst,4.0
John,Mobile App Developer,3.5
Samantha,Software Engineer,3.5
Samantha,Mobile App Developer,4.0
Samantha,Data Analyst,4.5
Emily,Mobile App Developer,3.0
Emily,Data Analyst,3.5
Emily,Software Engineer,5.0
